Segment,Country,Customer_ID,Product,Product_ID,Discount Band,Units Sold, Manufacturing Price , Sale Price , Gross Sales ,  Sales , COGS , Profit ,Date,Month Number,Month Name,Year
Government,Canada,CUST_ID_001,Carretera,PROD_ID_001,None,1619, $3.00 , $20.00 ," $32,370.00 "," $32,370.00 "," $16,185.00 "," $16,185.00 ",1/1/2019,1,Jan,2019
Government,Germany,CUST_ID_002,Carretera,PROD_ID_002,None,1321, $3.00 , $20.00 ," $26,420.00 "," $26,420.00 "," $13,210.00 "," $13,210.00 ",1/1/2019,1,Jan,2019
Midmarket,France,CUST_ID_003,Carretera,PROD_ID_002,None,2178, $3.00 , $15.00 ," $32,670.00 "," $32,670.00 "," $21,780.00 "," $10,890.00 ",6/1/2019,6,Jun,2019
Midmarket,Germany,CUST_ID_004,Carretera,PROD_ID_002,None,888, $3.00 , $15.00 ," $13,320.00 "," $13,320.00 "," $8,880.00 "," $4,440.00 ",6/1/2019,6,Jun,2019
Midmarket,Mexico,CUST_ID_005,Carretera,PROD_ID_002,None,2470, $3.00 , $15.00 ," $37,050.00 "," $37,050.00 "," $24,700.00 "," $12,350.00 ",6/1/2019,6,Jun,2019
Government,Germany,CUST_ID_006,Carretera,PROD_ID_002,None,1513, $3.00 , $350.00 ," $529,550.00 "," $529,550.00 "," $393,380.00 "," $136,170.00 ",12/1/2019,12,Dec,2019
Midmarket,Germany,CUST_ID_007,Montana,PROD_ID_003,None,921, $5.00 , $15.00 ," $13,815.00 "," $13,815.00 "," $9,210.00 "," $4,605.00 ",3/1/2019,3,Mar,2019
Channel Partners,Canada,CUST_ID_008,Montana,PROD_ID_004,None,2518, $5.00 , $12.00 ," $30,216.00 "," $30,216.00 "," $7,554.00 "," $22,662.00 ",6/1/2019,6,Jun,2019
Government,France,CUST_ID_009,Montana,PROD_ID_005,None,1899, $5.00 , $20.00 ," $37,980.00 "," $37,980.00 "," $18,990.00 "," $18,990.00 ",6/1/2019,6,Jun,2019
Channel Partners,Germany,CUST_ID_010,Montana,PROD_ID_005,None,1545, $5.00 , $12.00 ," $18,540.00 "," $18,540.00 "," $4,635.00 "," $13,905.00 ",6/1/2019,6,Jun,2019
Midmarket,Mexico,CUST_ID_011,Montana,PROD_ID_005,None,2470, $5.00 , $15.00 ," $37,050.00 "," $37,050.00 "," $24,700.00 "," $12,350.00 ",6/1/2019,6,Jun,2019
Enterprise,Canada,CUST_ID_012,Montana,PROD_ID_001,None,2666, $5.00 , $125.00 ," $333,187.50 "," $333,187.50 "," $319,860.00 "," $13,327.50 ",7/1/2019,7,Jul,2019
Small Business,Mexico,CUST_ID_013,Montana,PROD_ID_001,None,958, $5.00 , $300.00 ," $287,400.00 "," $287,400.00 "," $239,500.00 "," $47,900.00 ",8/1/2019,8,Aug,2019
Government,Germany,CUST_ID_014,Montana,PROD_ID_002,None,2146, $5.00 , $7.00 ," $15,022.00 "," $15,022.00 "," $10,730.00 "," $4,292.00 ",9/1/2019,9,Sep,2019
Enterprise,Canada,CUST_ID_015,Montana,PROD_ID_003,None,345, $5.00 , $125.00 ," $43,125.00 "," $43,125.00 "," $41,400.00 "," $1,725.00 ",10/1/2018,10,Oct,2018
Midmarket,USA,CUST_ID_016,Montana,PROD_ID_003,None,615, $5.00 , $15.00 ," $9,225.00 "," $9,225.00 "," $6,150.00 "," $3,075.00 ",12/1/2019,12,Dec,2019
Government,Canada,CUST_ID_017,Paseo,PROD_ID_004,None,292, $10.00 , $20.00 ," $5,840.00 "," $5,840.00 "," $2,920.00 "," $2,920.00 ",2/1/2019,2,Feb,2019
Midmarket,Mexico,CUST_ID_018,Paseo,PROD_ID_006,None,974, $10.00 , $15.00 ," $14,610.00 "," $14,610.00 "," $9,740.00 "," $4,870.00 ",2/1/2019,2,Feb,2019
Channel Partners,Canada,CUST_ID_019,Paseo,PROD_ID_006,None,2518, $10.00 , $12.00 ," $30,216.00 "," $30,216.00 "," $7,554.00 "," $22,662.00 ",6/1/2019,6,Jun,2019
Government,Germany,CUST_ID_020,Paseo,PROD_ID_005,None,1006, $10.00 , $350.00 ," $352,100.00 "," $352,100.00 "," $261,560.00 "," $90,540.00 ",6/1/2019,6,Jun,2019
Channel Partners,Germany,CUST_ID_021,Paseo,PROD_ID_005,None,367, $10.00 , $12.00 ," $4,404.00 "," $4,404.00 "," $1,101.00 "," $3,303.00 ",7/1/2019,7,Jul,2019
Government,Mexico,CUST_ID_022,Paseo,PROD_ID_001,None,883, $10.00 , $7.00 ," $6,181.00 "," $6,181.00 "," $4,415.00 "," $1,766.00 ",8/1/2019,8,Aug,2019
Midmarket,France,CUST_ID_023,Paseo,PROD_ID_002,None,549, $10.00 , $15.00 ," $8,235.00 "," $8,235.00 "," $5,490.00 "," $2,745.00 ",9/1/2018,9,Sep,2018
Small Business,Mexico,CUST_ID_024,Paseo,PROD_ID_002,None,788, $10.00 , $300.00 ," $236,400.00 "," $236,400.00 "," $197,000.00 "," $39,400.00 ",9/1/2018,9,Sep,2018
Midmarket,Mexico,CUST_ID_025,Paseo,PROD_ID_002,None,2472, $10.00 , $15.00 ," $37,080.00 "," $37,080.00 "," $24,720.00 "," $12,360.00 ",9/1/2019,9,Sep,2019
Government,USA,CUST_ID_026,Paseo,PROD_ID_002,None,1143, $10.00 , $7.00 ," $8,001.00 "," $8,001.00 "," $5,715.00 "," $2,286.00 ",10/1/2019,10,Oct,2019
Government,Canada,CUST_ID_027,Paseo,PROD_ID_002,None,1725, $10.00 , $350.00 ," $603,750.00 "," $603,750.00 "," $448,500.00 "," $155,250.00 ",11/1/2018,11,Nov,2018
Channel Partners,USA,CUST_ID_028,Paseo,PROD_ID_003,None,912, $10.00 , $12.00 ," $10,944.00 "," $10,944.00 "," $2,736.00 "," $8,208.00 ",11/1/2018,11,Nov,2018
Midmarket,Canada,CUST_ID_029,Paseo,PROD_ID_003,None,2152, $10.00 , $15.00 ," $32,280.00 "," $32,280.00 "," $21,520.00 "," $10,760.00 ",12/1/2018,12,Dec,2018
Government,Canada,CUST_ID_030,Paseo,PROD_ID_003,None,1817, $10.00 , $20.00 ," $36,340.00 "," $36,340.00 "," $18,170.00 "," $18,170.00 ",12/1/2019,12,Dec,2019
Government,Germany,CUST_ID_031,Paseo,PROD_ID_003,None,1513, $10.00 , $350.00 ," $529,550.00 "," $529,550.00 "," $393,380.00 "," $136,170.00 ",12/1/2019,12,Dec,2019
Government,Mexico,CUST_ID_032,Velo,PROD_ID_004,None,1493, $120.00 , $7.00 ," $10,451.00 "," $10,451.00 "," $7,465.00 "," $2,986.00 ",1/1/2019,1,Jan,2019
Enterprise,France,CUST_ID_033,Velo,PROD_ID_004,None,1804, $120.00 , $125.00 ," $225,500.00 "," $225,500.00 "," $216,480.00 "," $9,020.00 ",2/1/2019,2,Feb,2019
Channel Partners,Germany,CUST_ID_034,Velo,PROD_ID_004,None,2161, $120.00 , $12.00 ," $25,932.00 "," $25,932.00 "," $6,483.00 "," $19,449.00 ",3/1/2019,3,Mar,2019
Government,Germany,CUST_ID_035,Velo,PROD_ID_006,None,1006, $120.00 , $350.00 ," $352,100.00 "," $352,100.00 "," $261,560.00 "," $90,540.00 ",6/1/2019,6,Jun,2019
Channel Partners,Germany,CUST_ID_036,Velo,PROD_ID_005,None,1545, $120.00 , $12.00 ," $18,540.00 "," $18,540.00 "," $4,635.00 "," $13,905.00 ",6/1/2019,6,Jun,2019
Enterprise,USA,CUST_ID_037,Velo,PROD_ID_001,None,2821, $120.00 , $125.00 ," $352,625.00 "," $352,625.00 "," $338,520.00 "," $14,105.00 ",8/1/2019,8,Aug,2019
Enterprise,Canada,CUST_ID_038,Velo,PROD_ID_002,None,345, $120.00 , $125.00 ," $43,125.00 "," $43,125.00 "," $41,400.00 "," $1,725.00 ",10/1/2018,10,Oct,2018
Small Business,Canada,CUST_ID_039,VTT,PROD_ID_004,None,2001, $250.00 , $300.00 ," $600,300.00 "," $600,300.00 "," $500,250.00 "," $100,050.00 ",2/1/2019,2,Feb,2019
Channel Partners,Germany,CUST_ID_040,VTT,PROD_ID_002,None,2838, $250.00 , $12.00 ," $34,056.00 "," $34,056.00 "," $8,514.00 "," $25,542.00 ",4/1/2019,4,Apr,2019
Midmarket,France,CUST_ID_002,VTT,PROD_ID_002,None,2178, $250.00 , $15.00 ," $32,670.00 "," $32,670.00 "," $21,780.00 "," $10,890.00 ",6/1/2019,6,Jun,2019
Midmarket,Germany,CUST_ID_041,VTT,PROD_ID_003,None,888, $250.00 , $15.00 ," $13,320.00 "," $13,320.00 "," $8,880.00 "," $4,440.00 ",6/1/2019,6,Jun,2019
